CIS-30A AUTHORIZED KEYBOARD MONITOR - LOCAL SESSION LOG
Synthetic classroom data only. Do not store real secrets.

SESSION SUMMARY
Start time: 2026-07-13T12:00:00-07:00
Stop time: 2026-07-13T12:00:12-07:00
Duration: 12.4 seconds
Event count: 15
Stop reason: Esc key pressed

READABLE CAPTURE
demo_user42

EVENT TIMELINE
2026-07-13T12:00:01.100-07:00 | d
2026-07-13T12:00:01.250-07:00 | e
2026-07-13T12:00:01.390-07:00 | m
2026-07-13T12:00:01.520-07:00 | o
2026-07-13T12:00:01.680-07:00 | _
2026-07-13T12:00:01.820-07:00 | u
2026-07-13T12:00:01.950-07:00 | s
2026-07-13T12:00:02.090-07:00 | e
2026-07-13T12:00:02.220-07:00 | r
2026-07-13T12:00:02.360-07:00 | 4
2026-07-13T12:00:02.490-07:00 | 2
2026-07-13T12:00:12.400-07:00 | [ESC]

